FullGeoName,FIPS,State,County,Date Detected,Strain/Type/Source,States,Counties,Totals
,,Virginia,Matthews,01-06-2025,"EA/AM H5N1 -  - ",1,1,14
"AL, Baldwin",01003,Alabama,Baldwin,02-03-2025,"EA H5 -  - ",1,1,6
"AL, Barbour",01005,Alabama,Barbour,01-02-2025,"EA H5 -  - ",0,1,12
"AL, Chambers",01017,Alabama,Chambers,11-21-2022,"EA/AM H5N1 -  - ",0,1,1
"AL, Clarke",01025,Alabama,Clarke,01-26-2023,"EA/AM H5N1 -  - ",0,1,1
"AL, Cullman",01043,Alabama,Cullman,01-04-2023,"EA/AM H5N1 -  - ",0,1,2
"AL, Elmore",01051,Alabama,Elmore,11-10-2022,"EA H5N1 -  - ",0,1,5
"AL, Jackson",01071,Alabama,Jackson,12-22-2022,"EA/AM H5N1 -  - ",0,1,11
"AL, Jefferson",01073,Alabama,Jefferson,08-29-2024,"EA/AM H5N1 -  - ",0,1,1
"AL, Lamar",01075,Alabama,Lamar,12-08-2022,"EA H5N1 -  - ",0,1,2
"AL, Lauderdale",01077,Alabama,Lauderdale,12-20-2022,"EA H5N1 -  - ",0,1,1
"AL, Lee",01081,Alabama,Lee,02-06-2024,"EA H5N1 -  - ",0,1,1
"AL, Limestone",01083,Alabama,Limestone,01-24-2025,"EA H5 -  - ",0,1,22
"AL, Madison",01089,Alabama,Madison,04-13-2023,"EA H5N1 -  - ",0,1,1
"AL, Marion",01093,Alabama,Marion,01-04-2023,"EA/AM H5N1 -  - ",0,1,1
"AL, Marshall",01095,Alabama,Marshall,08-29-2024,"EA H5N1 -  - ",0,1,2
"AL, Montgomery",01101,Alabama,Montgomery,11-07-2022,"EA/AM H5N1 -  - ",0,1,16
"AL, Morgan",01103,Alabama,Morgan,01-04-2023,"EA/AM H5N1 -  - ",0,1,7
"AL, Shelby",01117,Alabama,Shelby,01-03-2023,"EA/AM H5N1 -  - ",0,1,1
"AL, Sumter",01119,Alabama,Sumter,12-20-2022,"EA/AM H5N1 -  - ",0,1,2
"AL, Tallapoosa",01123,Alabama,Tallapoosa,12-20-2022,"EA H5N1 -  - ",0,1,2
"AL, Walker",01127,Alabama,Walker,09-03-2024,"EA/AM H5N1 -  - ",0,1,1
"AK, Aleutians East Borough",02013,Alaska,Aleutians East,05-15-2023,"EA/AM H5N1 -  - ",1,1,67
"AK, Aleutians West Ca",02016,Alaska,Aleutians West,09-04-2024,"EA H5N1 -  - ",0,1,18
"AK, Anchorage Muny",02020,Alaska,Anchorage,09-04-2024,"EA H5N1 -  - ",0,1,24
"AK, Bethel Ca",02050,Alaska,Bethel,06-14-2022,"EA H5N1 -  - ",0,1,13
"AK, Chugach",02063,Alaska,Chugach,06-17-2022,"EA/AM H5N1 -  - ",0,1,1
"AK, Dillingham Ca",02070,Alaska,Dillingham,09-15-2023,"EA H5N1 -  - ",0,1,18
"AK, Fairbanks North Star Borough",02090,Alaska,Fairbanks North Star,01-20-2023,"EA H5N1 -  - ",0,1,4
"AK, Haines Borough",02100,Alaska,Haines,11-14-2024,"EA/AM H5N1 -  - ",0,1,2
"AK, Juneau Cty&bor",02110,Alaska,Juneau,10-30-2024,"EA H5 -  - ",0,1,35
"AK, Kenai Peninsula Borough",02122,Alaska,Kenai Peninsula,08-05-2022,"EA H5N1 -  - ",0,1,6
"AK, Ketchikan Gateway Borough",02130,Alaska,Ketchikan Gateway,06-12-2024,"EA H5N1 -  - ",0,1,2
"AK, Kusilvak Ca",02158,Alaska,Kusilvak,09-15-2022,"EA H5N1 mixed -  - ",0,1,8
"AK, Matanuska-Susitna Borough",02170,Alaska,Matanuska-Susitna,11-16-2022,"EA H5N1 -  - ",0,1,153
"AK, Nome Ca",02180,Alaska,Nome,08-18-2022,"EA H5N1 -  - ",0,1,3
"AK, North Slope Borough",02185,Alaska,North Slope,08-03-2022,"EA/AM H5N1 -  - ",0,1,21
"AK, Northwest Arctic Borough",02188,Alaska,Northwest Arctic,07-18-2022,"EA/AM H5N1 -  - ",0,1,1
"AK, Sitka Cty&bor",02220,Alaska,Sitka,06-24-2022,"EA H5 -  - ",0,1,23
"AK, Southeast Fairbanks Ca",02240,Alaska,Southeast Fairbanks,09-20-2022,"EA/AM H5N1 -  - ",0,1,13
"AK, Valdez-Cordova Ca",02261,Alaska,Valdez-Cordova,06-08-2022,"EA/AM H5N1 -  - ",0,1,2
"AK, Yukon-Koyukuk Ca",02290,Alaska,Yukon-Koyukuk,09-20-2022,"EA/AM H5N1 -  - ",0,1,3
"AZ, Coconino",04005,Arizona,Coconino,04-24-2023,"EA H5N1 -  - ",1,1,20
"AZ, La Paz",04012,Arizona,La Paz,01-13-2025,"EA H5 -  - ",0,1,55
"AZ, Maricopa",04013,Arizona,Maricopa,12-01-2022,"EA/AM H5N1 -  - ",0,1,39
"AZ, Mohave",04015,Arizona,Mohave,02-06-2025,"EA H5 -  - ",0,1,12
"AZ, Pima",04019,Arizona,Pima,11-02-2023,"EA H5N1 -  - ",0,1,4
"AZ, Pinal",04021,Arizona,Pinal,12-13-2024,"EA H5 -  - ",0,1,9
"AZ, Yuma",04027,Arizona,Yuma,09-17-2024,"EA H5N1 -  - ",0,1,14
